ID,category,Case_w,Case_wo,NoCNV_Control_w,NoCNV_Control_wo,LargeRare_Control_w,LargeRare_Control_wo,NEJM_Control_w,NEJM_Control_wo
2890,node,0,217,3,87792,0,4106,0,2210
2910,node,0,217,3,87792,0,4106,0,2210
2950,node,0,217,1,87794,0,4106,0,2210
2970,node,0,217,28,87767,3,4103,0,2210
2980,node,0,217,3,87792,0,4106,0,2210
2990,node,0,217,2,87793,0,4106,0,2210
3000,node,0,217,1,87794,0,4106,0,2210
3010,node,0,217,7,87788,0,4106,1,2209
3040,node,0,217,1,87794,0,4106,0,2210
3060,node,0,217,2,87793,0,4106,0,2210
3080,node,0,217,5,87790,0,4106,0,2210
3100,node,0,217,1,87794,0,4106,0,2210
3130,node,0,217,2,87793,0,4106,0,2210
3140,node,0,217,7,87788,0,4106,0,2210
3150,node,1,216,132,87663,8,4098,5,2205
3170,node,1,216,217,87578,13,4093,6,2204
3180,node,4,213,484,87311,27,4079,13,2197
3190,node,0,217,9,87786,1,4105,0,2210
3260,node,0,217,2,87793,0,4106,0,2210
3270,node,0,217,6,87789,0,4106,0,2210
3300,node,0,217,1,87794,0,4106,0,2210
3330,node,0,217,2,87793,0,4106,0,2210
3380,node,0,217,1,87794,0,4106,0,2210
3410,node,0,217,18,87777,0,4106,0,2210
3420,node,0,217,2,87793,0,4106,0,2210
3480,node,0,217,36,87759,0,4106,2,2208
3490,node,0,217,1,87794,0,4106,0,2210
3500,node,0,217,10,87785,0,4106,0,2210
3510,node,0,217,243,87552,14,4092,6,2204
3520,node,0,217,2,87793,0,4106,0,2210
3530,node,0,217,128,87667,6,4100,4,2206
3540,node,0,217,78,87717,2,4104,2,2208
3550,node,6,211,2133,85662,115,3991,47,2163
3570,node,0,217,6,87789,0,4106,0,2210
3580,node,0,217,3,87792,0,4106,0,2210
3590,node,0,217,2,87793,0,4106,0,2210
3600,node,0,217,1,87794,0,4106,0,2210
3640,node,0,217,1,87794,0,4106,0,2210
3660,node,0,217,1,87794,0,4106,0,2210
3680,node,0,217,1,87794,0,4106,0,2210
3690,node,0,217,1,87794,0,4106,0,2210
3700,node,0,217,13,87782,0,4106,0,2210
3710,node,0,217,3,87792,0,4106,0,2210
3730,node,0,217,1,87794,0,4106,0,2210
3760,node,0,217,25,87770,1,4105,0,2210
3780,node,0,217,3,87792,0,4106,1,2209
3800,node,0,217,2,87793,0,4106,0,2210
3830,node,0,217,5,87790,0,4106,0,2210
3840,node,0,217,4,87791,0,4106,0,2210
3850,node,0,217,6,87789,0,4106,0,2210
3860,node,0,217,4,87791,0,4106,0,2210
3870,node,0,217,2,87793,0,4106,0,2210
3900,node,0,217,1,87794,0,4106,0,2210
3910,node,0,217,2,87793,0,4106,0,2210
3970,node,0,217,2,87793,0,4106,0,2210
4050,node,0,217,1,87794,0,4106,0,2210
4390,node,0,217,1,87794,0,4106,0,2210
4460,node,0,217,2,87793,0,4106,0,2210
4480,node,0,217,3,87792,1,4105,0,2210
4490,node,0,217,2,87793,0,4106,0,2210
4630,node,0,217,6,87789,0,4106,0,2210
4650,node,0,217,2,87793,0,4106,0,2210
4660,node,0,217,5,87790,0,4106,0,2210
