type,id,control,cc_est,cc_err,cc_p,cc_bonferroni_fdr,cc_posneg,sex_est,sex_err,sex_p,sex_bonferroni_fdr,sex_posneg,meaning
node,50580,NoCNV_Control,-0.593766431050326,0.41349852460922,0.151014350168996,1.0,-,-0.219246617245667,0.0317303424657763,4.85736891660593e-12,8.730634890707499e-08,-,"K52.9 Non-infective gastro-enteritis and colitis, unspecified"
node,21060,NoCNV_Control,0.570795251187029,0.341254173984094,0.0943982627130993,1.0,+,-0.205639902868892,0.0447801366857532,4.38571485944482e-06,0.0788288388836612,-,"D50.9 Iron deficiency anaemia, unspecified"
node,123180,NoCNV_Control,0.0622218173896782,0.277104587367474,0.822335030748571,1.0,+,-0.466650436879603,0.0293381409995096,5.764032477367289e-57,1.0360271974819965e-52,-,R10.4 Other and unspecified abdominal pain
node,37040,NoCNV_Control,-0.145546093435934,0.324102326362546,0.653377907580585,1.0,-,-0.0655790270567959,0.0302794040274404,0.0303267414512037,1.0,-,"H26.9 Cataract, unspecified"
node,34010,NoCNV_Control,-0.171637850320691,0.414974406540733,0.679159243618768,1.0,-,-0.653540436209293,0.0407688442422946,7.839038686025691e-58,1.4089888134262576e-53,-,G56.0 Carpal tunnel syndrome
node,7000,NoCNV_Control,-10.7466245230974,729.047336585765,0.988239096633784,1.0,-,0.304624204439215,0.556389782985486,0.584034285077399,1.0,+,A86 Unspecified viral encephalitis
node,42460,NoCNV_Control,0.344003659454272,1.00408291700325,0.731895766174507,1.0,+,0.24850258269092,0.118180811805659,0.0354891972762384,1.0,+,"I49.9 Cardiac arrhythmia, unspecified"
node,14290,NoCNV_Control,0.296625966043705,0.414809050378543,0.474553191073829,1.0,+,0.301813616123643,0.0474692460910001,2.04281218083733e-10,3.671750613837017e-06,+,C44.3 Skin of other and unspecified parts of face
node,65620,NoCNV_Control,-0.0757635544716809,0.414517821124493,0.854974452224415,1.0,-,-0.152482793159535,0.0401003027347702,0.0001432231907608,1.0,-,"M16.9 Coxarthrosis, unspecified"
node,19910,NoCNV_Control,-11.5248508386042,441.829782205995,0.979190044977971,1.0,-,0.385606757964545,0.229594066680684,0.0930516509241407,1.0,+,D33.3 Cranial nerves
node,49590,NoCNV_Control,-0.0074390477954262,0.711417854423669,0.991656952124871,1.0,-,0.481253885321232,0.0712691015209655,1.45188695878961e-11,2.609621619728445e-07,+,K29 Gastritis and duodenitis
node,8920,NoCNV_Control,0.489544339716955,0.711834215014856,0.491627606850224,1.0,+,-0.181631800221962,0.0909237019026813,0.0457569248401016,1.0,-,"B34.9 Viral infection, unspecified"
node,78720,NoCNV_Control,-11.7484772609721,442.763354595238,0.978831064846229,1.0,-,-0.0587276044972568,0.205352392445335,0.774889981190761,1.0,-,M54.4 Lumbago with sciatica
node,55690,NoCNV_Control,0.651110495468074,0.582746778941518,0.263860560315375,1.0,+,0.0821954791890322,0.0793876848290401,0.300497021060572,1.0,+,L72.0 Epidermal cyst
node,41140,NoCNV_Control,1.06150667939344,0.361685348414262,0.0033366604818355,1.0,+,0.358395721579113,0.0595466563615358,1.7578215000313502e-09,3.159508364156349e-05,+,I26.9 Pulmonary embolism without mention of acute cor pulmonale
node,3730,NoCNV_Control,-15.0078555219554,22206.1043161383,0.999460754793832,1.0,-,-15.8008597689638,1764.5192897507,0.992855224853157,1.0,-,"A16.5 Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
node,45540,NoCNV_Control,0.928552059048838,0.287403346858975,0.0012343027105993,1.0,+,0.513939732967193,0.04412145330356,2.34093811607771e-31,4.207602169838076e-27,+,"J18.1 Lobar pneumonia, unspecified"
node,123500,NoCNV_Control,-11.4867981711858,442.585538710937,0.97929414932663,1.0,-,-0.176932427798757,0.235711119130408,0.452873853283853,1.0,-,"R22.3 Localised swelling, mass and lump, upper limb"
node,50150,NoCNV_Control,-1.03419868267208,1.00174928432904,0.301888174282092,1.0,-,1.21074480139586,0.0683573069779455,3.38800531410839e-70,6.089600751578419e-66,+,K42.9 Umbilical hernia without obstruction or gangrene
node,45820,NoCNV_Control,0.574409042218663,1.00459781881801,0.567470960048859,1.0,+,0.406078109138363,0.133408518481594,0.0023355649573805,1.0,+,J31.0 Chronic rhinitis
node,19320,NoCNV_Control,0.886761279640271,0.712527099426305,0.213304602050105,1.0,+,0.204572919532704,0.109196122754737,0.0610069743995858,1.0,+,"D23.1 Skin of eyelid, including canthus"
node,14990,NoCNV_Control,0.174984766730138,1.00580361911073,0.861885045555464,1.0,+,-17.6466165425725,238.889477081445,0.941114323873037,1.0,-,C54.1 Endometrium
node,50290,NoCNV_Control,0.450811409429013,0.194341351556396,0.0203577312878869,1.0,+,-0.0503446633347529,0.0229770566058319,0.028445707297303,1.0,-,K44.9 Diaphragmatic hernia without obstruction or gangrene
node,18520,NoCNV_Control,-0.0232543194807869,0.505624912458111,0.963317227604898,1.0,-,0.550628919458027,0.0505325013647313,1.19736875982498e-27,2.1521506089094188e-23,+,D12.5 Sigmoid colon
node,51240,NoCNV_Control,0.504285936187338,0.268516623365038,0.0603751956522956,1.0,+,0.423233645424711,0.033503183962928,1.3951843489961899e-36,2.507704348885752e-32,+,K63.5 Polyp of colon
node,49700,NoCNV_Control,-0.39586858843515,0.414575388564222,0.339639798346497,1.0,-,-0.401005831163374,0.0353742803663275,8.694832093540349e-30,1.5628091204929423e-25,-,K30 Dyspepsia
node,37350,NoCNV_Control,-11.8512768581115,266.607052456101,0.964543932704555,1.0,-,0.715078787865495,0.121886363451164,4.44376787745182e-09,7.987228382931903e-05,+,H33.2 Serous retinal detachment
node,46030,NoCNV_Control,0.0931970215102137,0.71143139275976,0.895775853301256,1.0,+,0.362597988361165,0.0742799243852876,1.05278059591271e-06,0.01892267843093505,+,J34.8 Other specified disorders of nose and nasal sinuses
node,41010,NoCNV_Control,0.415060678177412,1.0045481471577,0.679473664641709,1.0,+,0.818108134064715,0.129168896800499,2.39457750857956e-10,4.304013613920901e-06,+,"I24.9 Acute ischaemic heart disease, unspecified"
node,14840,NoCNV_Control,-0.278659805847764,0.509100054482597,0.584133049277394,1.0,-,-4.25018681650616,0.193626237655995,8.571180767509229e-107,1.540584031152109e-102,-,"C50.9 Breast, unspecified"
node,15220,NoCNV_Control,0.254114292584741,0.421571517715931,0.546655979614197,1.0,+,7.05462358470847,0.707334012739041,1.99008004974366e-23,3.5769698814092546e-19,+,C61 Malignant neoplasm of prostate
node,132160,NoCNV_Control,-11.787685897583,442.494156319604,0.978747515253193,1.0,-,-0.213777782046848,0.203433686139261,0.293328632384955,1.0,-,S52.10 Fracture of upper end of radius (closed)
node,44290,NoCNV_Control,-0.16249830413496,0.414728266203708,0.695192152047799,1.0,-,-0.464520991605198,0.0397548565594591,1.5273412041601402e-31,2.745243080357436e-27,-,I83.9 Varicose veins of lower extremities without ulcer or inflammation
node,42480,NoCNV_Control,0.43391386432093,0.583244625603888,0.456897362949058,1.0,+,0.908835197097369,0.0764324769907544,1.32302608304267e-32,2.378007081660895e-28,+,I50.0 Congestive heart failure
node,123050,NoCNV_Control,-0.154030611426532,0.414464734678154,0.71016281218083,1.0,-,0.0924521638764462,0.0382750117773317,0.0157148931100163,1.0,+,R07.3 Other chest pain
node,103950,NoCNV_Control,0.0491460567599291,0.508857320796498,0.923058977412078,1.0,+,-3.14921275876434,0.135120593736918,3.79288063575663e-120,6.817323654708967e-116,-,N39.3 Stress incontinence
node,46170,NoCNV_Control,1.42022160867519,1.00748323708987,0.158636351237846,1.0,+,0.456214357968651,0.203446899872157,0.0249339354744847,1.0,+,J38.1 Polyp of vocal cord and larynx
node,134950,NoCNV_Control,0.832353384599873,0.583591850666721,0.153793468477327,1.0,+,-0.839464739851245,0.0972258139487322,5.9152130610856096e-18,1.0632003955995275e-13,-,S82.80 Fractures of other parts of lower leg (closed)
node,13210,NoCNV_Control,0.586932695471875,1.00482967602002,0.559145213724226,1.0,+,0.734517955768103,0.138881605635725,1.23116966051877e-07,0.002212904347816437,+,C19 Malignant neoplasm of rectosigmoid junction
node,86670,NoCNV_Control,0.283814403762503,0.45319272791733,0.531147419482859,1.0,+,-0.0448883595655978,0.0517077310923968,0.385330294232471,1.0,-,M75.4 Impingement syndrome of shoulder
node,44400,NoCNV_Control,-0.296527104435115,0.384603187107349,0.440709941202347,1.0,-,0.142213327448873,0.0332866577472253,1.93395637529892e-05,0.34760931889622787,+,I84.9 Unspecified haemorrhoids without complication
node,13220,NoCNV_Control,-0.0889896160360629,1.00378652701128,0.929356950369969,1.0,-,0.800333922523826,0.100363405722955,1.53172531010485e-15,2.7531230723824576e-11,+,C20 Malignant neoplasm of rectum
node,14800,NoCNV_Control,0.336520530671846,0.7144532778134,0.637627704317859,1.0,+,-5.5387436310917,0.708277488463991,5.2815237807858806e-15,9.493010843584542e-11,-,C50.4 Upper-outer quadrant of breast
node,41040,NoCNV_Control,0.486414362788581,0.229929137037452,0.0343876239856138,1.0,+,1.43444021026732,0.0319422660835383,0.0,0.0,+,I25.1 Atherosclerotic heart disease
node,20850,NoCNV_Control,-11.1699894968826,441.889019441332,0.979833368235579,1.0,-,0.373802274956736,0.273944959422861,0.172405228083763,1.0,+,D47.1 Chronic myeloproliferative disease
