type,id,control,cc_est,cc_err,cc_p,cc_bonferroni_fdr,cc_posneg,sex_est,sex_err,sex_p,sex_bonferroni_fdr,sex_posneg,meaning,chapter,keep,factor
Block,710,LargeRare_Control,0.112955709287033,0.73102372470847,0.8772019825692,1.0,+,-0.234680856982864,0.343256084779164,0.49417074734693,1.0,-,E20-E35 Disorders of other endocrine glands,40,True,16
Block,750,LargeRare_Control,0.413402453875397,0.16607473371921,0.0128010912912182,0.2048174606594912,+,0.411580434882695,0.081045576050963,3.80661741435403e-07,6.090587862966448e-06,+,E70-E90 Metabolic disorders,40,True,16
Block,680,LargeRare_Control,0.231656573814716,0.263235814776146,0.378840671308051,1.0,+,-1.22794181075756,0.151559807900167,5.40504890441672e-16,8.648078247066752e-15,-,E00-E07 Disorders of thyroid gland,40,True,16
Block,690,LargeRare_Control,0.669672389334896,0.201813777575439,0.000905772280906,0.014492356494496,+,0.815550881848338,0.11330516524506,6.118007652772699e-13,9.788812244436319e-12,+,E10-E14 Diabetes mellitus,40,True,16
Block,730,LargeRare_Control,1.08969768075,0.486061142510831,0.024968207733084,0.399491323729344,+,-0.966228498280606,0.383038796401537,0.0116512590170782,0.1864201442732512,-,E50-E64 Other nutritional deficiencies,40,True,16
Block,700,LargeRare_Control,1.22848314308466,0.772308221102252,0.111685137368387,1.0,+,0.683469065692705,0.571142791135404,0.231435462773468,1.0,+,E15-E16 Other disorders of glucose regulation and pancreatic internal secretion,40,True,16
Block,720,LargeRare_Control,1.30343257418344,1.09899803049083,0.235614785816509,1.0,+,1.82226152287937,1.09600244615796,0.0963837852851305,1.0,+,E40-E46 Malnutrition,40,True,16
Block,740,LargeRare_Control,1.0343061008004,0.211564599758869,1.01430375041518e-06,1.622886000664288e-05,+,-0.117252976709355,0.134159932532629,0.382129637229482,1.0,-,E65-E68 Obesity and other hyperalimentation,40,True,16
Chapter,40,LargeRare_Control,0.551460425858741,0.14287915181606,0.0001135595975164,0.0002271191950328,+,0.104418668806993,0.0678487629243492,0.123806373596318,0.247612747192636,+,"Chapter IV Endocrine, nutritional and metabolic diseases",40,True,2
Sub-block,24270,LargeRare_Control,-14.6149765343297,1940.78635624536,0.993991634429546,1.0,-,1.32384043122489,1.15512804554933,0.251772338581414,1.0,+,E23 Hypofunction and other disorders of pituitary gland,40,True,78
Sub-block,26810,LargeRare_Control,0.306240268254242,0.352461493900118,0.384922818525889,1.0,+,0.302005077413224,0.175060778194592,0.0845014977145332,1.0,+,"E87 Other disorders of fluid, electrolyte and acid-base balance",40,True,78
Sub-block,24140,LargeRare_Control,0.786699118153076,1.0584170300332,0.457312802055387,1.0,+,-17.0904019844986,1095.80244594383,0.987556502419446,1.0,-,E21 Hyperparathyroidism and other disorders of parathyroid gland,40,True,78
Sub-block,23080,LargeRare_Control,0.34380127847978,0.271079500592546,0.204702494429573,1.0,+,-1.15319590953806,0.160838226957429,7.50460718863984e-13,5.853593607139076e-11,-,E03 Other hypothyroidism,40,True,78
